system_id,system_name,material_route_id,applicable_engineering_needs,target_properties,advantages,limitations,suggested_validation_tests,evidence_level,needs_expert_review,source_asset,data_status
CMS-R1-01,环氧防护涂层,R1,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、附着力、耐介质性,工艺成熟、适合表面防护场景,长期可靠性需验证、不给出配方,盐雾、湿热、腐蚀、附着力,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R1-02,聚氨酯防护涂层,R1,耐湿热、表面防护,耐湿热性、附着力、耐介质性,柔韧性较好、适合复杂环境防护,耐老化表现需验证,湿热、耐介质、附着力,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R1-03,片层填料阻隔涂层,R1,耐腐蚀、表面防护,低吸水率、耐腐蚀性、耐介质性,有利于介质阻隔路线讨论,填料分散和界面相容性需验证,盐雾、湿热、腐蚀、表面分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R1-04,金属表面改性防护体系,R1,表面防护、耐腐蚀,耐腐蚀性、附着力、耐介质性,适合表面处理与防护协同,基材和工艺窗口需专家审核,电化学、腐蚀、附着力、表面分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-01,玻璃纤维增强聚合物复合材料,R2,结构减重、高承载、服役可靠性,高比强度、高比模量、耐冲击、耐环境性,成本和工艺可达性较好,长期疲劳和环境适应性需验证,拉伸、弯曲、冲击、疲劳、密度,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-02,碳纤维增强聚合物复合材料,R2,结构减重、高承载,高比强度、高比模量、耐疲劳,轻量化潜力高,成本和批量制造需评估,拉伸、弯曲、疲劳、密度,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-03,铝基轻质合金,R2,结构减重、高承载,高比强度、耐疲劳、耐冲击,工程应用基础较好,腐蚀防护和连接工艺需验证,拉伸、疲劳、冲击、密度、腐蚀,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R2-04,镁基轻质合金,R2,结构减重,高比强度、耐冲击、耐环境性,减重潜力突出,耐腐蚀和阻燃安全需重点审核,拉伸、冲击、腐蚀、密度,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R3-01,陶瓷增强耐磨涂层,R3,摩擦磨损控制、服役寿命提升,耐磨性、硬度、耐冲蚀性,适合磨损和硬度场景,界面结合和韧性需验证,摩擦磨损、硬度、冲蚀、显微组织,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R3-02,激光熔覆耐磨合金层,R3,摩擦磨损控制、服役寿命提升,耐磨性、硬度、抗疲劳性,适合局部强化路线,残余应力和基材匹配需审核,硬度、摩擦磨损、显微组织、疲劳,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R3-03,自润滑复合涂层,R3,摩擦磨损控制,耐磨性、耐冲蚀性,适合摩擦控制路线,载荷和温度影响需验证,摩擦磨损、硬度、表面分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R4-01,BN/聚合物复合材料,R4,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,兼顾导热与绝缘,界面热阻需验证,导热、介电、绝缘、热分析、热循环,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R4-02,Al2O3/聚合物复合材料,R4,热量传导、器件可靠性,导热系数、绝缘性、热稳定性,材料可得性较好,加工性和力学完整性需验证,导热、介电、绝缘、热分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R4-03,AlN/聚合物复合材料,R4,热量传导、器件可靠性,导热系数、绝缘性、界面稳定性,适合高导热绝缘路线,水解稳定性和成本需审核,导热、介电、绝缘、热循环,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R4-04,SiC/聚合物绝缘复合材料,R4,热量传导、热安全,导热系数、热稳定性、绝缘性,适合热稳定路线,绝缘可靠性需验证,导热、介电、绝缘、热分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R5-01,低介电聚合物基复合材料,R5,信号传输、电子封装、介电可靠性,低介电常数、低介电损耗、热稳定性、绝缘性,适合低介电和射频场景,可靠性和加工窗口需验证,介电、阻抗、热分析、可靠性,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R5-02,陶瓷填料增强封装材料,R5,电子封装、介电可靠性,热稳定性、绝缘性、可靠性,兼顾封装支撑和热稳定,低介电目标与填料增强需权衡,介电、热分析、封装、可靠性,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R5-03,高导热封装胶材料,R5,电子封装、介电可靠性,热稳定性、绝缘性、可靠性,适合封装散热和绝缘可靠性协同,粘接和介电损耗需验证,导热、介电、热分析、封装、可靠性,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R6-01,无卤阻燃聚合物复合材料,R6,热安全、火灾风险控制、阻燃防护,阻燃性、热稳定性、抑烟性、机械完整性,适合阻燃和抑烟场景,阻燃、力学和加工需平衡,阻燃、燃烧、热分析、烟密度、安全测试,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R6-02,矿物填料阻燃复合材料,R6,火灾风险控制、阻燃防护,阻燃性、抑烟性、热稳定性,适合成本敏感阻燃路线,高填充可能影响力学和加工性,阻燃、燃烧、烟密度、热分析,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R6-03,相变热管理阻燃复合材料,R6,热安全、火灾风险控制,热稳定性、阻燃性、机械完整性,适合热失控和热安全协同,相变稳定性和泄漏风险需验证,热分析、阻燃、燃烧、安全测试,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R7-01,氟橡胶密封材料,R7,介质隔离、防渗漏、密封可靠性,低渗透率、耐介质性、密封稳定性,适合耐介质密封路线,介质、温度和压缩变形需验证,密封、耐压、浸泡、耐介质,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R7-02,聚四氟乙烯密封材料,R7,介质隔离、防渗漏,耐介质性、低渗透率、密封稳定性,适合化工介质和阻隔场景,蠕变和密封结构适配需审核,渗透、密封、耐压、耐介质,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R7-03,高阻隔聚合物复合材料,R7,介质隔离、防渗漏、密封可靠性,低渗透率、耐湿热性、耐介质性,适合阻隔和渗透控制,阻隔与韧性需验证,渗透、浸泡、耐介质、湿热,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R8-01,再生塑料增强复合材料,R8,资源循环、绿色制造、环境影响降低,可回收性、资源利用率、低碳性,适合再生和循环利用场景,批次稳定性需验证,循环利用、碳足迹、再生、生命周期,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R8-02,固废基功能建材,R8,资源循环、绿色制造,资源利用率、低碳性、环境稳定性,适合固废资源化路线,环境安全和耐久性需验证,环保、生命周期、碳足迹、循环利用,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
CMS-R8-03,可回收热塑性复合材料,R8,资源循环、绿色制造、环境影响降低,可回收性、低碳性、环境稳定性,适合可回收复合材料路线,回收循环次数和界面稳定性需验证,循环利用、生命周期、再生、环境稳定性,路线级知识,True,第一版 rules/candidate_material_systems.yaml,候选体系规则，非真实配方或性能预测
