node_id,label,node_type,description,city,material
city:青岛,青岛,城市,海洋大气、盐雾和高湿环境叠加，适合筛选耐盐雾、耐磨、耐湿热表面防护材料。,青岛,
env:青岛:盐雾风险,高盐雾风险,环境,青岛的盐雾风险示例等级为高。,青岛,
env:青岛:高湿风险,高高湿风险,环境,青岛的高湿风险示例等级为高。,青岛,
env:青岛:工业污染风险,中工业污染风险,环境,青岛的工业污染风险示例等级为中。,青岛,
city:烟台,烟台,城市,面向海上风电、船舶装备和海洋工程，重点关注盐雾、冲蚀和长期服役稳定性。,烟台,
env:烟台:盐雾风险,高盐雾风险,环境,烟台的盐雾风险示例等级为高。,烟台,
env:烟台:高湿风险,中高湿风险,环境,烟台的高湿风险示例等级为中。,烟台,
env:烟台:工业污染风险,中工业污染风险,环境,烟台的工业污染风险示例等级为中。,烟台,
city:威海,威海,城市,海水环境与海洋牧场装备需求突出，强调低毒、耐海水和可维护性。,威海,
env:威海:盐雾风险,高盐雾风险,环境,威海的盐雾风险示例等级为高。,威海,
env:威海:高湿风险,高高湿风险,环境,威海的高湿风险示例等级为高。,威海,
env:威海:工业污染风险,低工业污染风险,环境,威海的工业污染风险示例等级为低。,威海,
city:日照,日照,城市,港口机械、海洋运输和钢铁装备防护需求明显，兼顾耐磨、耐污染和成本友好。,日照,
env:日照:盐雾风险,中盐雾风险,环境,日照的盐雾风险示例等级为中。,日照,
env:日照:高湿风险,中高湿风险,环境,日照的高湿风险示例等级为中。,日照,
env:日照:工业污染风险,高工业污染风险,环境,日照的工业污染风险示例等级为高。,日照,
industry:青岛:海洋装备产业,海洋装备产业,产业,面向海洋装备结构件、连接件和运动部件的耐腐蚀涂层筛选。,青岛,
scene:海洋装备,海洋装备,应用场景,海洋装备,,
demand:海洋装备:耐盐雾、耐磨、耐湿热表面防护材料,耐盐雾、耐磨、耐湿热表面防护材料,性能需求,耐盐雾、耐磨、耐湿热表面防护材料,,
industry:青岛:港口装备产业,港口装备产业,产业,港口机械暴露在盐雾和颗粒磨损环境中，需要兼顾防护和成本。,青岛,
scene:港口机械,港口机械,应用场景,港口机械,,
demand:港口机械:耐盐雾、耐磨、抗冲蚀涂层,耐盐雾、耐磨、抗冲蚀涂层,性能需求,耐盐雾、耐磨、抗冲蚀涂层,,
industry:青岛:海上能源装备,海上能源装备,产业,海上风电零部件需要长期服役稳定性和海洋环境适配性。,青岛,
scene:海上风电设备,海上风电设备,应用场景,海上风电设备,,
demand:海上风电设备:耐盐雾、耐疲劳、耐湿热涂层,耐盐雾、耐疲劳、耐湿热涂层,性能需求,耐盐雾、耐疲劳、耐湿热涂层,,
industry:烟台:海上能源装备,海上能源装备,产业,海上风电装备对耐盐雾和长期防护潜力要求较高。,烟台,
demand:海上风电设备:耐盐雾、耐湿热、耐冲蚀涂层,耐盐雾、耐湿热、耐冲蚀涂层,性能需求,耐盐雾、耐湿热、耐冲蚀涂层,,
industry:烟台:船舶装备产业,船舶装备产业,产业,船舶配套部件需要兼顾海水环境适应性和可维护性。,烟台,
scene:船舶装备,船舶装备,应用场景,船舶配套部件需要兼顾海水环境适应性和可维护性。,,
demand:船舶装备:耐海水、低毒、耐磨涂层,耐海水、低毒、耐磨涂层,性能需求,耐海水、低毒、耐磨涂层,,
industry:烟台:海洋工程产业,海洋工程产业,产业,海洋工程装备关注复杂海况下的表面防护候选材料。,烟台,
scene:海洋工程,海洋工程,应用场景,海洋工程,,
demand:海洋工程:耐盐雾、耐冲蚀、稳定涂层,耐盐雾、耐冲蚀、稳定涂层,性能需求,耐盐雾、耐冲蚀、稳定涂层,,
industry:威海:海洋牧场装备,海洋牧场装备,产业,海洋牧场装备强调生态友好和海水长期暴露适配性。,威海,
scene:海洋牧场装备,海洋牧场装备,应用场景,海洋牧场装备,,
demand:海洋牧场装备:耐海水、低毒、抗生物附着候选涂层,耐海水、低毒、抗生物附着候选涂层,性能需求,耐海水、低毒、抗生物附着候选涂层,,
industry:威海:船舶配套产业,船舶配套产业,产业,船舶配套部件需要成本可控的耐蚀表面防护方案。,威海,
scene:船舶配套,船舶配套,应用场景,船舶配套,,
demand:船舶配套:低毒、耐盐雾、耐磨涂层,低毒、耐盐雾、耐磨涂层,性能需求,低毒、耐盐雾、耐磨涂层,,
industry:威海:海水环境装备,海水环境装备,产业,面向海水监测、养殖和配套设备的材料筛选。,威海,
scene:海水环境装备,海水环境装备,应用场景,海水环境装备,,
demand:海水环境装备:耐海水、耐湿热、稳定涂层,耐海水、耐湿热、稳定涂层,性能需求,耐海水、耐湿热、稳定涂层,,
industry:日照:港口装备产业,港口装备产业,产业,港口机械与钢铁物流装备对耐磨和成本友好性敏感。,日照,
demand:港口机械:耐磨、耐盐雾、耐污染涂层,耐磨、耐盐雾、耐污染涂层,性能需求,耐磨、耐盐雾、耐污染涂层,,
industry:日照:海洋运输装备,海洋运输装备,产业,海洋运输装备关注海水暴露和维修便利性。,日照,
scene:海洋运输装备,海洋运输装备,应用场景,海洋运输装备关注海水暴露和维修便利性。,,
demand:海洋运输装备:耐海水、耐盐雾、防护涂层,耐海水、耐盐雾、防护涂层,性能需求,耐海水、耐盐雾、防护涂层,,
industry:日照:钢铁装备防护,钢铁装备防护,产业,钢铁与港口复合场景下需要耐磨、耐污染和可规模化涂层。,日照,
scene:钢铁装备防护,钢铁装备防护,应用场景,钢铁装备防护,,
demand:钢铁装备防护:耐磨、耐热、耐工业污染涂层,耐磨、耐热、耐工业污染涂层,性能需求,耐磨、耐热、耐工业污染涂层,,
material:TiN,TiN,候选材料,常见硬质涂层候选体，真实物性需后续接入。,,TiN
category:氮化物涂层,氮化物涂层,材料类别,氮化物涂层,,
feature:TiN:防护潜力,中防护潜力,性能需求,TiN的防护潜力示例等级。,,TiN
scene:海洋装备运动部件,海洋装备运动部件,应用场景,海洋装备运动部件,,
material:CrN,CrN,候选材料,适合作为耐盐雾和耐磨防护候选体，真实性能需实验验证。,,CrN
feature:CrN:防护潜力,高防护潜力,性能需求,CrN的防护潜力示例等级。,,CrN
material:AlN,AlN,候选材料,稳定性等级为示例分级，不代表真实热力学数据。,,AlN
feature:AlN:防护潜力,中防护潜力,性能需求,AlN的防护潜力示例等级。,,AlN
scene:电子封装相关部件,电子封装相关部件,应用场景,电子封装相关部件,,
material:TiAlN,TiAlN,候选材料,复合氮化物硬质涂层候选体，需验证海洋环境附着力。,,TiAlN
feature:TiAlN:防护潜力,高防护潜力,性能需求,TiAlN的防护潜力示例等级。,,TiAlN
material:Al2O3,Al2O3,候选材料,氧化物防护层候选体，示例等级不等同真实腐蚀速率。,,Al2O3
category:氧化物涂层,氧化物涂层,材料类别,氧化物涂层,,
feature:Al2O3:防护潜力,高防护潜力,性能需求,Al2O3的防护潜力示例等级。,,Al2O3
material:Cr2O3,Cr2O3,候选材料,关注防护层稳定性，毒性风险为元素层面示例标注。,,Cr2O3
feature:Cr2O3:防护潜力,高防护潜力,性能需求,Cr2O3的防护潜力示例等级。,,Cr2O3
material:TiO2,TiO2,候选材料,低毒候选涂层体系，后续需补充真实结构与制备数据。,,TiO2
feature:TiO2:防护潜力,中防护潜力,性能需求,TiO2的防护潜力示例等级。,,TiO2
material:ZrO2,ZrO2,候选材料,成本和稀有元素风险需结合供应链进一步评估。,,ZrO2
feature:ZrO2:防护潜力,高防护潜力,性能需求,ZrO2的防护潜力示例等级。,,ZrO2
material:SiO2,SiO2,候选材料,成本友好但硬度等级为示例分级，需结合复合涂层设计。,,SiO2
feature:SiO2:防护潜力,中防护潜力,性能需求,SiO2的防护潜力示例等级。,,SiO2
material:SiC,SiC,候选材料,耐磨候选体，海洋涂层服役表现需实验验证。,,SiC
category:碳化物涂层,碳化物涂层,材料类别,碳化物涂层,,
feature:SiC:防护潜力,高防护潜力,性能需求,SiC的防护潜力示例等级。,,SiC
material:TiC,TiC,候选材料,硬质碳化物候选体，需关注涂层缺陷与附着力。,,TiC
feature:TiC:防护潜力,中防护潜力,性能需求,TiC的防护潜力示例等级。,,TiC
material:WC,WC,候选材料,耐磨潜力强但成本和稀有元素风险较高。,,WC
feature:WC:防护潜力,高防护潜力,性能需求,WC的防护潜力示例等级。,,WC
material:ZrN,ZrN,候选材料,稀有元素和成本风险需在产业化阶段重点评估。,,ZrN
feature:ZrN:防护潜力,中防护潜力,性能需求,ZrN的防护潜力示例等级。,,ZrN
material:HfN,HfN,候选材料,高成本和稀有元素风险明显，作为高端候选体展示。,,HfN
feature:HfN:防护潜力,中防护潜力,性能需求,HfN的防护潜力示例等级。,,HfN
scene:高端海洋工程部件,高端海洋工程部件,应用场景,高端海洋工程部件,,
material:AlCrN,AlCrN,候选材料,复合氮化物候选体，需补充真实材料数据库和实验数据。,,AlCrN
feature:AlCrN:防护潜力,高防护潜力,性能需求,AlCrN的防护潜力示例等级。,,AlCrN
material:CrAlN,CrAlN,候选材料,与 AlCrN 同属复合氮化物候选体系，排序仅用于原型演示。,,CrAlN
feature:CrAlN:防护潜力,高防护潜力,性能需求,CrAlN的防护潜力示例等级。,,CrAlN
