opportunity_id,city,industry,opportunity_name,material_route_id,material_route_name,engineering_needs,performance_targets,matched_keywords,opportunity_score,opportunity_level,manual_review_status,limitations,source_asset,data_status
OPP-0001,青岛,海洋装备/船舶,青岛-海洋装备/船舶-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,海洋、腐蚀、防腐,38.33,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0002,青岛,海洋装备/船舶,青岛-海洋装备/船舶-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,船体、装备,25.7,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0003,威海,电子信息/集成电路,威海-电子信息/集成电路-高导热绝缘与热管理材料研发机会,R4,高导热绝缘与热管理材料,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,导热,26.24,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0004,威海,电子信息/集成电路,威海-电子信息/集成电路-电子封装与低介电材料研发机会,R5,电子封装与低介电材料,信号传输、电子封装、介电可靠性,低介电常数、低介电损耗、热稳定性、绝缘性、可靠性,集成电路,24.68,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0005,滨州,绿色低碳与循环利用,滨州-绿色低碳与循环利用-绿色循环与低碳材料研发机会,R8,绿色循环与低碳材料,资源循环、绿色制造、环境影响降低,可回收性、资源利用率、低碳性、环境稳定性,再生,26.24,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0006,东营,化工与耐介质装备,东营-化工与耐介质装备-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,耐介质,15.96,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0007,东营,化工与耐介质装备,东营-化工与耐介质装备-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,装备,15.96,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0008,东营,化工与耐介质装备,东营-化工与耐介质装备-耐介质密封与阻隔材料研发机会,R7,耐介质密封与阻隔材料,介质隔离、防渗漏、密封可靠性,低渗透率、耐介质性、耐湿热性、密封稳定性,密封,25.46,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0009,德州,新能源/储能,德州-新能源/储能-高导热绝缘与热管理材料研发机会,R4,高导热绝缘与热管理材料,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,热失控、电池,17.52,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0010,德州,新能源/储能,德州-新能源/储能-阻燃与热安全材料研发机会,R6,阻燃与热安全材料,热安全、火灾风险控制、阻燃防护,阻燃性、热稳定性、抑烟性、机械完整性,阻燃,25.46,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0011,济南,高端装备,济南-高端装备-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,轻量化,35.57,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0012,烟台,新能源/储能,烟台-新能源/储能-高导热绝缘与热管理材料研发机会,R4,高导热绝缘与热管理材料,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,热管理,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0013,烟台,新能源/储能,烟台-新能源/储能-阻燃与热安全材料研发机会,R6,阻燃与热安全材料,热安全、火灾风险控制、阻燃防护,阻燃性、热稳定性、抑烟性、机械完整性,阻燃,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0014,济宁,电子信息/集成电路,济宁-电子信息/集成电路-高导热绝缘与热管理材料研发机会,R4,高导热绝缘与热管理材料,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,电子,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0015,济宁,电子信息/集成电路,济宁-电子信息/集成电路-电子封装与低介电材料研发机会,R5,电子封装与低介电材料,信号传输、电子封装、介电可靠性,低介电常数、低介电损耗、热稳定性、绝缘性、可靠性,集成电路,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0016,淄博,化工与耐介质装备,淄博-化工与耐介质装备-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,耐介质,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0017,淄博,化工与耐介质装备,淄博-化工与耐介质装备-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,装备,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0018,淄博,化工与耐介质装备,淄博-化工与耐介质装备-耐介质密封与阻隔材料研发机会,R7,耐介质密封与阻隔材料,介质隔离、防渗漏、密封可靠性,低渗透率、耐介质性、耐湿热性、密封稳定性,密封,21.74,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0019,临沂,绿色低碳与循环利用,临沂-绿色低碳与循环利用-绿色循环与低碳材料研发机会,R8,绿色循环与低碳材料,资源循环、绿色制造、环境影响降低,可回收性、资源利用率、低碳性、环境稳定性,再生、循环利用,23.89,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0020,青岛,公共服务,青岛-公共服务-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,腐蚀,25.37,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0021,济南,公共服务,济南-公共服务-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,复合材料,33.5,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0022,威海,公共服务,威海-公共服务-高导热绝缘与热管理材料研发机会,R4,高导热绝缘与热管理材料,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,导热,24.59,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0023,威海,公共服务,威海-公共服务-电子封装与低介电材料研发机会,R5,电子封装与低介电材料,信号传输、电子封装、介电可靠性,低介电常数、低介电损耗、热稳定性、绝缘性、可靠性,介电,23.03,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0024,德州,公共服务,德州-公共服务-高导热绝缘与热管理材料研发机会,R4,高导热绝缘与热管理材料,热量传导、热安全、器件可靠性,导热系数、绝缘性、热稳定性、界面稳定性,热失控,14.31,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0025,德州,公共服务,德州-公共服务-阻燃与热安全材料研发机会,R6,阻燃与热安全材料,热安全、火灾风险控制、阻燃防护,阻燃性、热稳定性、抑烟性、机械完整性,阻燃,23.81,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0026,东营,公共服务,东营-公共服务-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,耐介质,14.31,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0027,东营,公共服务,东营-公共服务-耐介质密封与阻隔材料研发机会,R7,耐介质密封与阻隔材料,介质隔离、防渗漏、密封可靠性,低渗透率、耐介质性、耐湿热性、密封稳定性,密封,23.81,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0028,滨州,公共服务,滨州-公共服务-绿色循环与低碳材料研发机会,R8,绿色循环与低碳材料,资源循环、绿色制造、环境影响降低,可回收性、资源利用率、低碳性、环境稳定性,再生,24.59,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0029,烟台,新能源/储能,烟台-新能源/储能-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,防护,18.7,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0030,潍坊,高端装备,潍坊-高端装备-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,装备,10.73,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0031,潍坊,高端装备,潍坊-高端装备-耐磨耐蚀表面材料研发机会,R3,耐磨耐蚀表面材料,摩擦磨损控制、服役寿命提升,耐磨性、硬度、耐冲蚀性、抗疲劳性,磨损,10.73,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0032,日照,海洋装备/船舶,日照-海洋装备/船舶-耐环境防护材料与表面工程材料研发机会,R1,耐环境防护材料与表面工程材料,长期服役环境稳定性、耐湿热、耐腐蚀、表面防护,耐腐蚀性、耐湿热性、低吸水率、附着力、耐介质性,腐蚀,10.73,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
OPP-0033,日照,海洋装备/船舶,日照-海洋装备/船舶-轻量化结构材料与复合材料研发机会,R2,轻量化结构材料与复合材料,结构减重、高承载、服役可靠性,高比强度、高比模量、耐疲劳、耐冲击、耐环境性,装备,10.73,数据不足,示例待审核,本卡基于用户本地导入或示例数据的产业科技文本规则匹配，不是材料性能预测结论。、未生成材料化学式或具体配方，后续需文献、专利、实验与工程认证验证。、未命中成果/合同数据，评分已自动移除该项并重新归一化。,第一版 data/exports/opportunity_cards.json,第一版示例机会卡，仅作页面样例与规则验证，不作为真实产业结论
