catalog_id,catalog_name,city,source_department,domain,published_at,updated_at,record_count,open_formats,source_url,reliability_tier,use_status,intended_use,quality_notes
6bca3e65b54149bc90e4f1a4417c980f,"威海市海洋生产总值（分区市）信息",威海,威海市海洋发展局,综合政务,2025-07-02,2026-07-01,24,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/6bca3e65b54149bc90e4f1a4417c980f",A,已纳入证据层,"海洋经济规模、城市海洋产业权重","官方目录元数据已核验；需下载明细数据后检查字段、年份、单位和缺失值"
a134c04cda564f4bab096b3e1b4fa9c4,"远洋捕捞渔船信息",威海,威海市海洋发展局,机构团体,2021-05-21,2026-07-01,351,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/a134c04cda564f4bab096b3e1b4fa9c4",A,已纳入证据层,"船舶/渔船装备存量和防护需求线索","官方目录元数据已核验；需下载明细数据后检查船舶类型、登记状态和时间口径"
324076aabf184eb18aa26c1d22ad95e8,"烟台市港口经营许可证",烟台,市交通运输局,综合政务,2025-06-04,2026-06-29,50,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/324076aabf184eb18aa26c1d22ad95e8",A,已纳入证据层,"港口经营主体和港口装备应用场景","官方目录元数据已核验；需下载明细数据后检查经营范围、许可有效期和主体去重"
4ce717c4712d4e61a017dbc0070b3058,"烟台市统计年鉴_沿海主要港口货物吞吐量",烟台,烟台市统计局,社会民生,2026-01-12,2026-06-29,19,"csv;rdf","https://data.sd.gov.cn/portal/catalog/4ce717c4712d4e61a017dbc0070b3058",A,已纳入证据层,"港口吞吐量、磨损负荷和物流强度","官方目录元数据已核验；需下载明细数据后检查年份、吨位单位和港口名称"
20201113144849155900,"烟台莱山区新材料及其应用技术合同登记信息",烟台,烟台市莱山区,教育科技,2026-03-20,2026-06-29,36,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/20201113144849155900",B,已纳入证据层,"新材料技术转化活动线索","官方目录元数据已核验；目录可支撑研发活动存在性，不能替代项目质量评价"
7CD9C95E77ED4288A2800277DDC4A303,"新材料领域高新技术企业名单",青岛,青岛市科学技术局,暂无,2025-12-30,2025-12-30,1772,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/7CD9C95E77ED4288A2800277DDC4A303",A,已纳入证据层,"新材料企业供给侧基础","官方目录元数据已核验；可支撑企业基础，不直接支撑海洋装备需求"
f7d09a4b028f463fa817cb3eb17b211e,"兽医师执业注册信息",青岛,青岛市西海岸新区,社保就业,2018-11-21,2026-07-01,160,"csv;rdf","https://data.sd.gov.cn/portal/catalog/f7d09a4b028f463fa817cb3eb17b211e",D,不纳入证据层,"仅证明目录存在，不用于材料或装备结论","真实公共目录，但与材料/装备/环境问题不相关，禁止用于模型支撑"
e5682c20764444aabcb121941b37581d,"荣成市国内渔船检验证书核发信息",威海,荣成市,农业农村,2021-05-21,2026-07-01,2612,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/e5682c20764444aabcb121941b37581d",A,已纳入证据层,"船舶/渔船装备存量和防护需求线索","官方目录元数据已核验；需下载明细数据后检查证书有效期和船舶类型"
f77e56de776345b3a40aa5496e09b39d,"荣成市港口基本信息",威海,荣成市,综合政务,2021-10-28,2026-06-29,33,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/f77e56de776345b3a40aa5496e09b39d",A,已纳入证据层,"港口基础设施和港航设备暴露场景","官方目录元数据已核验；需下载明细数据后检查港口类型、位置和经营状态"
78613881491d48d69231fa1b7ecc675d,"威海市车载设备监测区县PM浓度信息",威海,威海市生态环境局,资源能源,2022-12-19,2026-07-01,3712,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/78613881491d48d69231fa1b7ecc675d",A,已纳入证据层,"大气颗粒物暴露和工业污染环境线索","官方目录元数据已核验；需下载明细数据后检查监测时间、空间粒度和异常值"
39df846dd67b480083ecd45b081356b2,"威海市排污许可证清单信息",威海,威海市生态环境局,资源能源,2021-05-21,2026-07-01,2510,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/39df846dd67b480083ecd45b081356b2",A,已纳入证据层,"污染源约束和环境风险画像","官方目录元数据已核验；需下载明细数据后检查许可证状态、行业分类和地址字段"
2e27984eae3d42afa31260805a390717,"威海市地表水水质（饮用水水源地水质）月报信息",威海,威海市生态环境局,资源能源,2021-05-21,2026-07-01,219,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/2e27984eae3d42afa31260805a390717",B,已纳入证据层,"水质环境约束和低污染材料路线线索","官方目录元数据已核验；水源地水质不能直接等同海水腐蚀环境"
b8d511be7c5f4c66ad9b499658e9e508,"东港区历年地区生产总值",日照,东港区统计局,农业农村,2026-07-01,2026-07-01,86,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/b8d511be7c5f4c66ad9b499658e9e508",C,候选观察,"区域经济背景","真实公共目录，但只能作宏观背景，不能直接支撑港口装备或材料需求"
20190606103500111100,"对外贸易备案企业名录",日照,日照市行政审批服务局,市场监督,2026-07-01,2026-07-01,1,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/20190606103500111100",C,候选观察,"外向型企业背景","真实公共目录，但数据量过小，不能直接支撑装备需求"
ad014749eb384513b7abea6f3f9f4c87,"成品油市级监督抽查信息公示",日照,日照市市场监督管理局,暂无,2026-07-01,2026-07-01,0,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/ad014749eb384513b7abea6f3f9f4c87",D,不纳入证据层,"不用于当前分析","真实公共目录，但数据量为0且主题不匹配，禁止用于模型支撑"
eb42748c96f84d06aeba0a458df582bf,"新材料行业管理信息",威海,威海市工业和信息化局,机构团体,2021-05-21,2026-07-01,24,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/eb42748c96f84d06aeba0a458df582bf",A,已纳入证据层,"新材料行业管理和产业主体线索","官方目录元数据已核验；需下载明细数据后检查企业名称、行业分类、管理口径"
5b03163b1c8044f6aef7311127b43c3b,"武城县新材料产品生产企业",德州,德州市武城县,社会民生,2026-06-29,2026-06-29,46,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/5b03163b1c8044f6aef7311127b43c3b",A,已纳入证据层,"新材料产品生产企业清单","官方目录元数据已核验；需下载明细数据后检查产品类别和企业状态"
3e4dd08bb26049af930824260ac603d8,"新材料领域科技型中小企业名单信息",东营,东营市垦利区科学技术局,暂无,2026-06-01,2026-06-04,10,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/3e4dd08bb26049af930824260ac603d8",A,已纳入证据层,"新材料科技型中小企业供给侧基础","官方目录元数据已核验；数据量较小，适合做局部样本"
0415BD2C387A4871BF503AAD4C0CFFD5,"东营新材料产业园危险废物申报登记备案信息",东营,东营港经济开发区组织人事部,资源环境,2026-05-20,2026-05-20,26,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/0415BD2C387A4871BF503AAD4C0CFFD5",B,已纳入证据层,"新材料园区环境约束和危废管理线索","官方目录元数据已核验；只能支撑园区环境约束，不能代表材料性能"
6d1581ac522f43f99cad94aa33a54e69,"薛城区新材料企业名单",枣庄,枣庄市薛城区科学技术局,综合政务,2022-05-03,2025-12-17,44,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/6d1581ac522f43f99cad94aa33a54e69",A,已纳入证据层,"新材料企业清单","官方目录元数据已核验；需下载明细数据后检查是否仍有效"
d09ffc755eca424bb2c4ba676be84b2a,"薛城区“6+3”新材料产业企业名单",枣庄,枣庄市薛城区科学技术局,综合政务,2022-05-03,2025-12-17,54,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/d09ffc755eca424bb2c4ba676be84b2a",A,已纳入证据层,"新材料产业企业清单","官方目录元数据已核验；需下载明细数据后检查产业分类标准"
e405dc8eb334486fab5483738f202280,"威海市高新技术企业信息",威海,威海市科学技术局,科技创新,2021-05-21,2026-07-01,4863,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/e405dc8eb334486fab5483738f202280",A,已纳入证据层,"高新技术企业基础和材料企业筛选候选池","官方目录元数据已核验；需按企业名称/行业字段筛选材料相关企业"
95073cbbb5794f67bb8f84c9df4ec9ea,"夏津县高新技术企业认定信息",德州,德州市夏津县,社保就业,2026-06-30,2026-06-30,113,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/95073cbbb5794f67bb8f84c9df4ec9ea",B,已纳入证据层,"区域高新技术企业候选池","官方目录元数据已核验；需筛选材料相关行业"
6151ae21a8b748ca8f05be3b9be1ea91,"高新技术企业认定",德州,德州市科学技术局,安全监管,2023-06-13,2026-06-29,1054,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/6151ae21a8b748ca8f05be3b9be1ea91",A,已纳入证据层,"高新技术企业认定和材料企业候选池","官方目录元数据已核验；需筛选材料相关行业"
873b4602fac14e9da378283db6c0658e,"夏津县科技型中小企业",德州,德州市夏津县,文化休闲,2026-06-30,2026-06-30,145,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/873b4602fac14e9da378283db6c0658e",B,已纳入证据层,"科技型中小企业候选池","官方目录元数据已核验；需筛选材料相关企业"
d45e0888ed354d06a883d5c0ad9984fa,"烟台招远市国家科技型中小企业名单信息",烟台,烟台市招远市,教育科技,2026-01-21,2026-06-29,578,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/d45e0888ed354d06a883d5c0ad9984fa",B,已纳入证据层,"科技型中小企业候选池","官方目录元数据已核验；需筛选材料相关企业"
545933217c32427a9d03c525c57a20fd,"威海市技术合同登记信息",威海,威海市科学技术局,科技创新,2020-08-26,2026-06-29,2502,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/545933217c32427a9d03c525c57a20fd",A,已纳入证据层,"技术合同和材料成果转化线索","官方目录元数据已核验；需按项目名称/技术领域筛选材料相关合同"
42066c98b02a4757ab5f097570676eb5,"烟台市技术合同认定登记服务点信息",烟台,市科技局,教育科技,2026-01-09,2026-06-29,10,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/42066c98b02a4757ab5f097570676eb5",C,候选观察,"技术合同服务网络","真实公共目录，但只说明服务点分布，不能直接支撑材料创新活动强度"
20201217134833315800,"烟台栖霞市先进制造技术合同登记信息",烟台,烟台市栖霞市,教育科技,2026-02-11,2026-06-20,39,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/20201217134833315800",B,已纳入证据层,"先进制造技术合同和材料应用线索","官方目录元数据已核验；需筛选材料相关合同"
f0a89834dde64918bb2937dbc8e0246f,"山东省首台（套）技术装备和关键核心零部件及生产企业信息",威海,威海市工业和信息化局,资源能源,2021-05-21,2026-06-30,87,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/f0a89834dde64918bb2937dbc8e0246f",A,已纳入证据层,"关键核心零部件和先进装备材料应用场景","官方目录元数据已核验；需检查产品领域和企业分类"
48ce7cb4e3054f4aa1d89c35798dd3db,"文登区山东省首台（套）技术装备和关键核心零部件及生产企业信息",威海,文登区,科技创新,2021-05-21,2026-06-29,14,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/48ce7cb4e3054f4aa1d89c35798dd3db",A,已纳入证据层,"关键核心零部件和先进装备材料应用场景","官方目录元数据已核验；局部区域样本，需和市级数据去重"
6b8eec2e55ed42b3ba72c8c6cf71b14b,"东营市首台套技术装备项目信息",东营,东营市工业和信息化局,暂无,2026-06-01,2026-06-04,12,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/6b8eec2e55ed42b3ba72c8c6cf71b14b",B,已纳入证据层,"先进装备和材料应用项目线索","官方目录元数据已核验；需下载明细判断是否含材料相关项目"
087a99f7ffc8443485cd4a9209b8480c,"威海市列入山东省技术创新项目计划信息",威海,威海市工业和信息化局,社保就业,2023-02-21,2026-06-29,592,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/087a99f7ffc8443485cd4a9209b8480c",A,已纳入证据层,"技术创新项目和材料研发方向线索","官方目录元数据已核验；需按项目名称和领域筛选材料相关项目"
17836b0064884321accd9382b9b111ec,"威海市市级技术创新中心立项信息",威海,威海市科学技术局,科技创新,2021-05-21,2026-07-01,52,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/17836b0064884321accd9382b9b111ec",A,已纳入证据层,"技术创新中心和材料研发平台线索","官方目录元数据已核验；需筛选材料相关平台"
03303c5ebf704f58af51e6c5cd278b0a,"威海市省级技术创新中心统计信息",威海,威海市科学技术局,科技创新,2021-05-21,2026-07-01,28,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/03303c5ebf704f58af51e6c5cd278b0a",A,已纳入证据层,"省级技术创新中心和材料研发平台线索","官方目录元数据已核验；需筛选材料相关平台"
55006bd49a4a4a838d7abfd4e252a629,"威海市“专精特新”中小企业信息",威海,威海市工业和信息化局,综合政务,2021-05-21,2026-06-29,396,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/55006bd49a4a4a838d7abfd4e252a629",A,已纳入证据层,"专精特新企业和材料企业筛选候选池","官方目录元数据已核验；需按企业主营业务筛选材料相关企业"
5c398d75d118400288bdb00f73d506a6,"烟台莱阳市新认定专精特新企业信息",烟台,烟台市莱阳市,综合政务,2026-01-30,2026-06-29,187,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/5c398d75d118400288bdb00f73d506a6",B,已纳入证据层,"专精特新企业和材料企业候选池","官方目录元数据已核验；需按企业主营业务筛选材料相关企业"
4b71b20246054031a0da6a071af520f4,"市级工业设计中心名单信息",威海,威海市工业和信息化局,城建住房,2021-05-21,2026-07-01,109,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/4b71b20246054031a0da6a071af520f4",B,已纳入证据层,"工业设计能力和材料应用设计支撑","官方目录元数据已核验；需筛选材料/装备相关设计中心"
3a515d9e9a614d629a531238cd8bc1a1,"省级工业设计中心名单信息",威海,威海市工业和信息化局,工业制造,2021-05-21,2026-06-29,81,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/3a515d9e9a614d629a531238cd8bc1a1",B,已纳入证据层,"工业设计能力和材料应用设计支撑","官方目录元数据已核验；需筛选材料/装备相关设计中心"
93dc7d61fde54d09aa119bebe236ab13,"烟台市国家级、省级工业设计中心名录",烟台,烟台市工业和信息化局,综合政务,2026-02-25,2026-06-29,74,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/93dc7d61fde54d09aa119bebe236ab13",B,已纳入证据层,"工业设计能力和材料应用设计支撑","官方目录元数据已核验；需筛选材料/装备相关设计中心"
badcf511473744029ffa6fcbf6156dfe,"产品检验检测结论信息（质检报告管理系统）",威海,威海市市场监督管理局,社会民生,2021-05-21,2026-06-29,1665,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/badcf511473744029ffa6fcbf6156dfe",A,已纳入证据层,"产品检验检测和材料/装备质量证据线索","官方目录元数据已核验；需确认产品类别、报告字段和隐私边界"
8eaf3908d70d49238beb5fd35a718385,"实验室检验能力信息",德州,德州市禹城市,教育科技,2018-09-25,2026-07-01,6635,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/8eaf3908d70d49238beb5fd35a718385",A,已纳入证据层,"实验室检验能力和材料验证服务线索","官方目录元数据已核验；需确认能力范围是否含材料、涂层、力学或环境试验"
79fff75fd64143dd80c14fb2c0d91823,"荣成市科技局_科技创新券（检验检测服务类）兑换信息",威海,荣成市,机构团体,2021-10-28,2026-07-01,29,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/79fff75fd64143dd80c14fb2c0d91823",B,已纳入证据层,"检验检测服务使用和创新券支持线索","官方目录元数据已核验；需确认服务类别是否材料相关"
c18d83dd235244948b04893137bf12e4,"知识产权“贯标”企业信息",威海,威海市市场监督管理局,科技创新,2020-08-13,2026-07-01,186,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/c18d83dd235244948b04893137bf12e4",B,已纳入证据层,"知识产权管理能力和材料企业筛选线索","官方目录元数据已核验；需筛选材料相关企业"
52879a36bd464e75936a09ddc9177adf,"荣成市市场监管局_组织申报和推荐专利奖信息",威海,荣成市,安全生产,2021-10-28,2026-06-30,16,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/52879a36bd464e75936a09ddc9177adf",C,候选观察,"专利奖励和材料创新成果线索","真实公共目录，但需确认专利主题是否材料相关"
87df4a5fdec549c08d0ffa3e3feccbc8,"威海市建筑节能技术产品应用认定信息_",威海,威海市住房和城乡建设局,科技创新,2020-08-13,2026-07-01,110,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/87df4a5fdec549c08d0ffa3e3feccbc8",B,已纳入证据层,"节能材料/建筑技术产品应用认定线索","官方目录元数据已核验；偏建筑材料方向，不能替代海洋装备材料证据"
2414366f73ec4c2782038461210afd9b,"威海市工程实验室（研究中心）、市级企业技术中心名单信息",威海,威海市发展和改革委员会,综合政务,2020-10-20,2026-06-29,55,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/2414366f73ec4c2782038461210afd9b",A,已纳入证据层,"工程实验室、研究中心、企业技术中心和材料研发平台线索","官方目录元数据已核验；需筛选材料相关平台"
8d547b502f8741859923113e4384b81c,"威海市省级重点实验室统计信息",威海,威海市科学技术局,科技创新,2021-05-21,2026-07-01,43,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/8d547b502f8741859923113e4384b81c",A,已纳入证据层,"省级重点实验室和材料科研平台线索","官方目录元数据已核验；需筛选材料相关实验室"
fcaa9ba91b6644c8b2b26ffd286183ba,"威海市市级重点实验室立项信息",威海,威海市科学技术局,科技创新,2021-05-21,2026-06-30,90,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/fcaa9ba91b6644c8b2b26ffd286183ba",A,已纳入证据层,"市级重点实验室和材料科研平台线索","官方目录元数据已核验；需筛选材料相关实验室"
33b510ce990e475eb97dbf33ecce0b9f,"烟台市重点实验室名单信息",烟台,烟台市科学技术局,教育科技,2026-01-09,2026-06-29,57,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/33b510ce990e475eb97dbf33ecce0b9f",A,已纳入证据层,"重点实验室和材料科研平台线索","官方目录元数据已核验；需筛选材料相关实验室"
f78faa7e81b14c76ab98472d79f0513f,"禹城市-有毒有害气体监测信息、监测设备、单位等数据-化工产业园服务中心",德州,德州市禹城市,资源环境,2023-08-31,2026-06-30,1433342,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/f78faa7e81b14c76ab98472d79f0513f",A,已纳入证据层,"化工园区环境暴露和耐介质材料应用约束","官方目录元数据已核验；需下载明细检查监测指标、时间粒度和设备位置"
3e8b4d9a6d0346d4a5f34e4e3af03b43,"禹城市-废气监测信息、监测设备、单位等数据表-化工产业园服务中心",德州,德州市禹城市,资源环境,2026-05-08,2026-06-30,1433307,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/3e8b4d9a6d0346d4a5f34e4e3af03b43",A,已纳入证据层,"化工园区废气环境和耐腐蚀/耐介质材料约束","官方目录元数据已核验；需下载明细检查监测指标、时间粒度和异常值"
cc5dae1322aa4874adca560e8127370e,"滨城区化工企业信息",滨州,滨州市滨城区,暂无,2026-05-13,2026-06-29,29,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/cc5dae1322aa4874adca560e8127370e",B,已纳入证据层,"化工企业和耐介质材料应用场景","官方目录元数据已核验；需确认企业经营状态和化工类别"
0C8D07030DE34C679EF199369EA2F9A3,"惠民县化工企业情况信息",滨州,滨州市惠民县,市场监督,2026-05-21,2026-06-29,126,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/0C8D07030DE34C679EF199369EA2F9A3",B,已纳入证据层,"化工企业和耐介质材料应用场景","官方目录元数据已核验；需确认企业经营状态和化工类别"
490a967eb5e047b48ade83bc92d793f1,"德州市复合材料产业终端领域在谈项目",德州,德州市投资促进局,社会民生,2020-12-22,2025-07-17,54,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/490a967eb5e047b48ade83bc92d793f1",A,已纳入证据层,"复合材料产业项目和终端应用线索","官方目录元数据已核验；需确认项目进展、投资状态和终端领域"
b3616385b6534f33813a23c4efdf079b,"复合材料产业重点企业及科研机构名录",德州,德州市投资促进局,社会民生,2023-04-19,2025-07-17,44,"csv;api;rdf","https://data.sd.gov.cn/portal/catalog/b3616385b6534f33813a23c4efdf079b",A,已纳入证据层,"复合材料企业和科研机构清单","官方目录元数据已核验；需下载明细后做企业/机构去重"
