"年份/季度","环翠区（亿元）","文登区（亿元）","荣成市（亿元）","乳山市（亿元）","高技区（亿元）","经技区（亿元）","临港区（亿元）","南海新区（亿元）","备注"
"201902","83.18","39.45","16.34","42.10","38.67","42.04","10.14","10.69","2019年第二季度（半年累计数）"
"201802","75.57","36.39","147.32","38.77","35.46","38.20","9.51","9.98","2018年第二季度（半年累计数）"
"202004","205.59","93.35","384.06","99.71","92.69","101.39","23.60","26.85","2020年第四季度（全年累计数）"
"201903","134.48","60.99","246.51","66.44","61.84","67.53","16.02","16.44","2019年第三季度（前三季度累计数）"
"202003","138.44","60.60","243.22","67.38","62.27","68.43","16.28","16.89","2020年第三季度（前三季度累计数）"
"201804","175.66","84.36","337.26","90.02","79.17","87.12","20.80","23.43","2018年第四季度（全年累计数）"
"201904","190.72","91.08","373.25","97.22","85.89","94.37","22.20","24.81","2019年第四季度（全年累计数）"
"202002","77.00","36.35","146.47","38.26","34.48","38.51","9.26","10.10","2020年第二季度（半年累计数）"
"202001","32.79","17.15","74.04","17.70","15.64","17.06","4.06","4.48","2020年第一季度"
"201803","118.37","55.07","223.86","60.69","54.30","59.36","14.29","14.66","2018年第三季度（前三季度累计数）"
"201801","35.51","17.68","74.43","18.75","17.12","18.29","4.50","4.69","2018年第一季度"
"201901","38.98","19.14","80.82","20.32","18.53","20.06","4.79","5.02","2019年第一季度"
"202101","41.38","19.33","84.84","19.93","20.36","20.75","5.31","5.32","2021年第一季度"
"2021年第二季度","98.51","45.36","186.22","46.52","45.55","47.70","11.73","11.36",
"202103","170.29","71.27","284.81","79.55","76.19","82.17","19.87","20.25","2021年第三季度累计数"
"202104","232.91","107.00","444.75","115.95","111.00","120.71","28.08","31.73","2021全年"
"202201","41.57","19.18","86.97","19.77","20.28","21.65","5.41","5.32","2022年一季度"
"202202","104.08","47.44","183.13","50.83","49.77","51.63","13.17","13.04","2022年第二季度累计数"
"202203","182.53","74.83","305.49","84.33","80.67","87.17","20.38","21.21","2022年第三季度"
"2022年4季度","240.77","111.67","457.17","122.63","114.26","122.03","26.39","32.14","全年累计数"
"2023年一季度","43.84","19.96","91.18","20.75","21.28","22.71","5.49","5.46","2023年一季度"
"2023年二季度","111.92","50.98","186.77","55.01","52.00","56.15","13.83","13.75","2023年二季度累计数"
"三季度","198.93","81.36","334.27","91.99","86.76","91.34","22.34","22.44",
"2023","253.98","117.79","482.07","129.36","120.33","128.54","27.78","33.83","2023年第四季度"