"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"延绳钓","2189-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔208"
"单拖网","2178-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔371"
"延绳钓","2192-04-01 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋","330.00","山东俚岛海洋科技股份有限公司","190.00",,"中国","鲁荣远渔27"
"单拖网","2178-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔372"
"拖网船","2183-09-09 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔929"
"延绳钓","0175-09-10 00:00:00.0","山东俚岛海洋科技股份有限公司","太平洋公海","828.00","山东俚岛海洋科技股份有限公司","307.00",,"中国","鲁荣远渔137"
"灯光围网","2195-09-06 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔116"
"延绳钓","2189-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔206"
"金枪鱼延绳钓","2180-09-06 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔388"
"金枪鱼延绳钓","2185-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋公海","698","荣成市远洋渔业有限公司","255",,"中国","鲁远24"
"鱿鱼钓","0174-01-12 00:00:00.0","荣成市永进水产有限公司","西南大西洋公海","1765.00","荣成市永进水产有限公司","1362.00",,"中国","鲁荣远渔586"
"灯光围网","0168-09-06 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔112"
"鱿鱼钓","2185-11-08 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","1000.00","荣成市连海渔业有限公司","765.00",,"中国","鲁荣远渔882"
"拖网","2193-09-04 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔508"
"延绳钓","0170-09-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔205"
"鱿鱼钓","2177-11-03 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","2205.00","荣成市荣远渔业有限公司","1654.00",,"中国","鲁荣远渔668"
"金枪钓","2179-03-06 00:00:00.0","荣成市远洋渔业有限公司","中西太平洋与东太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔937"
"延绳钓","2189-05-12 00:00:00.0","荣成市远洋渔业有限公司","中西太","480","荣成市远洋渔业有限公司","219",,"中国","中荣 15"
"鱿钓","2185-09-10 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","2100.00","荣成鑫润水产有限公司","1673.00",,"中国","鲁荣远渔679"
"运输","2182-09-12 00:00:00.0","荣成市恒隆渔业有限公司","印度洋公海","2100","荣成市恒隆渔业有限公司","2217",,"中国","鲁荣远渔运001"
"延绳钓","2178-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","255",,"中国","中荣 32"
"单拖网","2187-10-08 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2350.00","荣成市连海渔业有限公司","819.00",,"中国","鲁荣远渔897"
"金枪鱼延绳钓","2192-09-09 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔588"
"拖网","2192-09-04 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔977"
"延绳钓","0172-12-07 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋公海","750.00","山东俚岛海洋科技股份有限公司","316.00",,"中国","鲁荣远渔618"
"延绳钓","0172-08-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","255",,"中国","鸿洋 88"
"鱿鱼钓","2187-11-05 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","1000.00","荣成市连海渔业有限公司","764.00",,"中国","鲁荣远渔729"
"金枪鱼延绳钓","2195-08-05 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","1000","威海市恒源渔业有限公司","321",,"中国","鲁荣远渔199"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔361"
"单拖渔船","2187-09-12 00:00:00.0","荣成市华海渔业有限公司","西南大西洋公海","2350.00","荣成市华海渔业有限公司","819.00",,"中国","鲁荣远渔828"
"金枪鱼延绳钓","2192-09-09 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔688"
"延绳钓","0172-12-07 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋公海","750.00","山东俚岛海洋科技股份有限公司","316.00",,"中国","鲁荣远渔619"
"鱿鱼钓","2179-09-09 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2100.00","荣成市连海渔业有限公司","1593.00",,"中国","鲁荣远渔998"
"鱿鱼钓","2182-09-09 00:00:00.0","威海荣玛渔业有限公司","西南大西洋、东南太平洋公海","1103","威海荣玛渔业有限公司","917",,"中国","鲁威远渔858"
"拖网船","2180-09-03 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔906"
"延绳钓","2193-04-05 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋","330.00","山东俚岛海洋科技股份有限公司","190.00",,"中国","鲁荣远渔29"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔323"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔510"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔029"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔511"
"延绳钓","0169-09-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","255",,"中国","鲁荣远渔798"
"金枪钓","0172-01-12 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","中西太平洋公海","750.00","山东沙窝岛远洋渔业股份有限公司","432.00",,"中国","鲁荣远渔559"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔516"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔028"
"金枪钓","2187-12-06 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔266"
"渔业辅助船","2181-12-07 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","2100.00","荣成市连海渔业有限公司","2421.00",,"中国","鲁荣远渔运777"
"拖网","2190-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔989"
"灯光围网","0174-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔810"
"延绳钓","0172-12-07 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋公海","750.00","山东俚岛海洋科技股份有限公司","316.00",,"中国","鲁荣远渔617"
"鱿鱼钓","0171-10-05 00:00:00.0","荣成市远洋渔业有限公司","大西洋","1760","荣成市远洋渔业有限公司","1497",,"中国","源盛6"
"鱿鱼钓","2177-11-03 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","2205.00","荣成市荣远渔业有限公司","1654.00",,"中国","鲁荣远渔678"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔197"
"金枪钓","2185-09-12 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","364.00",,"中国","鲁荣远渔880"
"鱿鱼钓","2199-04-07 00:00:00.0","山东鑫弘集团有限公司","北太平洋、东南太平洋、西南大西洋及印度洋公海","1800.00","山东鑫弘集团有限公司","1492.00",,"中国","鲁荣远渔831"
"金枪钓","2192-12-07 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔289"
"冷藏运输船","2183-11-11 00:00:00.0","威海市环海水产有限公司","大西洋及太平洋公海","3000","威海市环海水产有限公司","3563",,"中国","鲁威远渔运777"
"金枪鱼延绳钓","2199-01-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","276.00",,"中国","鲁荣远渔297"
"单拖网","2190-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔382"
"金枪钓","0172-01-12 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","中西太平洋公海","750.00","山东沙窝岛远洋渔业股份有限公司","432.00",,"中国","鲁荣远渔558"
"灯光围网","2189-09-07 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔119"
"金枪鱼延绳钓","2181-09-05 00:00:00.0","威海昌和渔业有限公司","印度洋公海","1000","威海昌和渔业有限公司","454",,"中国","鲁威远渔188"
"运输","2190-05-09 00:00:00.0","荣成市赤山远洋渔业有限公司","东南太平洋、西南大西洋、印度洋、北太平洋","2060","荣成市赤山远洋渔业有限公司","3830",,"中国","鲁荣远渔运009"
"延绳钓","2181-06-01 00:00:00.0","荣成市远洋渔业有限公司","中西太","400","荣成市远洋渔业有限公司","215",,"中国","鸿洋 2"
"围网","2183-04-05 00:00:00.0","荣成市连海渔业有限公司","印度洋","1197.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔231"
"灯光围网","2180-09-05 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔816"
"灯光围网","0168-09-06 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔113"
"秋刀鱼捕捞船","2183-10-06 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1577",,"中国","鲁文远渔176"
"鱿鱼钓","2179-02-04 00:00:00.0","荣成华东渔业有限公司","太平洋印度洋西南大西洋","1260.00","荣成华东渔业有限公司","910.00",,"中国","鲁荣远渔582"
"延绳钓","2198-08-12 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋","698.00","山东俚岛海洋科技股份有限公司","276.00",,"中国","鲁荣远渔59"
"拖网船","2183-09-11 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔970"
"灯光围网","2191-09-07 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔122"
"金枪鱼延绳钓","2189-08-05 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","1000","威海市恒源渔业有限公司","321",,"中国","鲁荣远渔159"
"拖网","0173-12-01 00:00:00.0","荣成市远洋渔业有限公司","科特迪瓦","960","荣成市远洋渔业有限公司","328",,"中国","鲁荣远渔220"
"鱿钓","2196-10-07 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","2100.00","荣成鑫润水产有限公司","1673.00",,"中国","鲁荣远渔279"
"拖网","0169-12-01 00:00:00.0","荣成市远洋渔业有限公司","尼日利亚","960","荣成市远洋渔业有限公司","328",,"中国","鲁荣远渔216"
"金枪鱼延绳钓","2186-08-11 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","698.00","荣成马山远洋渔业有限公司","255.00",,"中国","鲁荣远渔328"
"灯光围网","2191-09-07 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔121"
"渔业辅助船","2181-12-07 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","4500.00","荣成市连海渔业有限公司","7758.00",,"中国","鲁荣远渔运898"
"金枪鱼延绳钓","2183-10-04 00:00:00.0","威海市恒源渔业有限公司","印度洋公海","750","威海市恒源渔业有限公司","345",,"中国","鲁乳远渔158"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔887"
"鱿鱼钓","0172-01-09 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","1540","荣成市荣远渔业有限公司","1531",,"中国","鲁荣远渔188"
"鱿鱼钓渔船","2177-11-08 00:00:00.0","荣成市华海渔业有限公司","印度洋公海","1000.00","荣成市华海渔业有限公司","744.00",,"中国","鲁荣远渔839"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔321"
"延绳钓","0175-09-10 00:00:00.0","山东俚岛海洋科技股份有限公司","太平洋公海","828.00","山东俚岛海洋科技股份有限公司","307.00",,"中国","鲁荣远渔139"
"延绳钓","2192-04-01 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋","330.00","山东俚岛海洋科技股份有限公司","190.00",,"中国","鲁荣远渔28"
"鱿鱼钓","2179-11-08 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","1540.00","荣成市荣远渔业有限公司","1531.00",,"中国","鲁荣远渔158"
"单拖网","2185-12-01 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2040.00","荣成市连海渔业有限公司","819.00",,"中国","鲁荣远渔883"
"单拖渔船","2187-09-12 00:00:00.0","荣成市华海渔业有限公司","西南大西洋公海","2350.00","荣成市华海渔业有限公司","819.00",,"中国","鲁荣远渔829"
"鱿鱼钓","2197-01-09 00:00:00.0","荣成华东渔业有限公司","西南大西洋","1760.00","荣成华东渔业有限公司","1478.00",,"中国","鲁荣远渔772"
"灯光围网","2196-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔815"
"金枪钓","2185-09-12 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","364.00",,"中国","鲁荣远渔876"
"拖网船","0168-09-09 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔926"
"鱿鱼钓","2186-08-09 00:00:00.0","荣成市永进水产有限公司","北太和东南太平洋公海","960.00","荣成市永进水产有限公司","403.00",,"中国","荣远渔169"
"金枪鱼延绳钓","2189-09-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","276.00",,"中国","鲁荣远渔589"
"鱿鱼钓","2188-01-11 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔605"
"鱿鱼钓","2198-04-11 00:00:00.0","山东鑫弘集团有限公司","北太平洋、东南太平洋、西南大西洋及印度洋公海","1800.00","山东鑫弘集团有限公司","1492.00",,"中国","鲁荣远渔837"
"拖网","2184-10-06 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2350","荣成市赤山远洋渔业有限公司","724",,"中国","鲁荣远渔806"
"金枪鱼延绳钓","2189-09-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","276.00",,"中国","鲁荣远渔598"
"鱿鱼钓","2191-08-07 00:00:00.0","荣成市海洋渔业有限公司","西南大西洋和东南太平洋","1103.00","荣成市海洋渔业有限公司","994.00",,"中国","海洋2"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔715"
"金枪鱼延绳钓","2192-04-06 00:00:00.0","威海市恒源渔业有限公司","中西太平洋","828","威海市恒源渔业有限公司","389",,"中国","鲁乳远渔138"
"运输船","2180-05-05 00:00:00.0","荣成华东渔业有限公司","印度洋与西南大西洋","4000.00","荣成华东渔业有限公司","8100.00",,"中国","华祥8"
"鱿鱼钓渔船","2177-11-08 00:00:00.0","荣成市华海渔业有限公司","印度洋公海","1000.00","荣成市华海渔业有限公司","744.00",,"中国","鲁荣远渔838"
"鱿鱼钓","0169-01-11 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","西南大西洋、东南太平洋和北太平洋公海","1800.00","山东沙窝岛远洋渔业股份有限公司","1531.00",,"中国","鲁荣远渔667"
"鱿钓","0174-01-04 00:00:00.0","荣成市赤山远洋渔业有限公司","北太平洋和东南太平洋","1540","荣成市赤山远洋渔业有限公司","1087",,"中国","鲁荣远渔739"
"金枪钓","0169-11-06 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔267"
"围网","2191-04-06 00:00:00.0","荣成市连海渔业有限公司","印度洋","1197.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔229"
"金枪鱼延绳钓","2191-04-01 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","540","威海昌和渔业有限公司","190",,"中国","荣大洋7"
"金枪鱼延绳钓","0175-09-05 00:00:00.0","荣成市永进水产有限公司","印度洋公海","735.00","荣成市永进水产有限公司","357.00",,"中国","鲁荣远渔588"
"金枪钓","0168-09-02 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1360.00","荣成市荣远渔业有限公司","474.00",,"中国","鲁荣远渔768"
"鱿鱼钓","2187-09-09 00:00:00.0","威海荣玛渔业有限公司","西南大西洋、东南太平洋公海","1103","威海荣玛渔业有限公司","917",,"中国","鲁威远渔898"
"灯光围网","2196-09-05 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔111"
"运输船","0173-02-06 00:00:00.0","荣成市海洋渔业有限公司","印度洋公海","2196","荣成市海洋渔业有限公司","2449",,"中国","鲁荣远渔运188"
"拖网船","2180-09-03 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔909"
"鱿鱼钓","2191-08-07 00:00:00.0","荣成市海洋渔业有限公司","西南大西洋和东南太平洋","1103.00","荣成市海洋渔业有限公司","994.00",,"中国","海洋5"
"延绳钓","0170-08-07 00:00:00.0","荣成市远洋渔业有限公司","中西太","480","荣成市远洋渔业有限公司","255",,"中国","润达5"
"灯光围网","2196-09-05 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔110"
