"作业方式","建造完工日期","所有人","作业海域","主机功率","企业名称","总吨位","船长姓名","渔船国籍","船名号"
"鱿鱼钓","2191-02-01 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔607"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔277"
"鱿鱼钓","2190-08-08 00:00:00.0","威海市环海水产有限公司","西南大西洋及东南太平洋公海","882","威海市环海水产有限公司","1266",,"中国","威渔16"
"鱿鱼钓","2187-08-09 00:00:00.0","威海市环海水产有限公司","西南大西洋及东南太平洋公海","882","威海市环海水产有限公司","917",,"中国","威渔18"
"灯光围网","0168-09-07 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔117"
"延绳钓","0169-10-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔209"
"金枪鱼延绳钓","2192-04-06 00:00:00.0","威海市恒源渔业有限公司","中西太平洋","828","威海市恒源渔业有限公司","389",,"中国","鲁乳远渔669"
"单拖渔船","2187-09-12 00:00:00.0","荣成市华海渔业有限公司","西南大西洋公海","2350.00","荣成市华海渔业有限公司","819.00",,"中国","鲁荣远渔819"
"运输船","2187-09-12 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","2206","山东蓝越远洋渔业有限公司","2244",,"中国","鲁荣远渔运158"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔519"
"鱿鱼钓","2188-01-11 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔602"
"拖网","0168-12-01 00:00:00.0","荣成市远洋渔业有限公司","尼日利亚","960","荣成市远洋渔业有限公司","328",,"中国","鲁荣远渔215"
"运输船","2194-12-09 00:00:00.0","荣成市荣远渔业有限公司","太平洋、印度洋、大西洋公海","3500.00","荣成市荣远渔业有限公司","3081.00",,"中国","鲁荣远渔运789"
"鱿鱼钓","2185-11-08 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","1000.00","荣成市连海渔业有限公司","764.00",,"中国","鲁荣远渔881"
"拖网","0174-10-06 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2350","荣成市赤山远洋渔业有限公司","724",,"中国","鲁荣远渔802"
"金枪钓","2185-09-12 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","364.00",,"中国","鲁荣远渔877"
"金枪钓","0175-09-03 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1360.00","荣成市荣远渔业有限公司","474.00",,"中国","鲁荣远渔789"
"鱿鱼钓","2185-11-05 00:00:00.0","荣成市连海渔业有限公司","印度洋公海","1000.00","荣成市连海渔业有限公司","764.00",,"中国","鲁荣远渔728"
"鱿鱼钓","0170-01-11 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","西南大西洋、东南太平洋和北太平洋公海","1800.00","山东沙窝岛远洋渔业股份有限公司","1531.00",,"中国","鲁荣远渔669"
"鱿鱼钓","2183-10-09 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","2205.00","荣成市荣远渔业有限公司","1654.00",,"中国","鲁荣远渔688"
"拖网","2187-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔978"
"金枪鱼延绳钓","2191-04-01 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","540","威海昌和渔业有限公司","190",,"中国","荣大洋9"
"鱿钓","2191-01-03 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","1540","荣成市赤山远洋渔业有限公司","1087",,"中国","鲁荣远渔539"
"延绳钓","2193-09-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","255",,"中国","鲁荣远渔888"
"金枪鱼延绳钓","2188-10-04 00:00:00.0","荣成马山远洋渔业有限公司","中西部太平洋","750","荣成马山远洋渔业有限公司","316",,"中国","鲁荣远渔315"
"金枪鱼延绳钓","2192-08-05 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","698","威海昌和渔业有限公司","336",,"中国","荣大洋18"
"单拖网","2185-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔380"
"延绳钓","2189-05-12 00:00:00.0","荣成市远洋渔业有限公司","中西太","480","荣成市远洋渔业有限公司","219",,"中国","中荣 13"
"延绳钓","2190-03-01 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","329",,"中国","鲁荣远渔900"
"围网","0169-03-08 00:00:00.0","山东海裕远洋渔业有限公司","印度洋公海","1155","山东海裕远洋渔业有限公司","899",,"中国","鲁荣远渔303"
"鱿鱼钓","2189-08-02 00:00:00.0","荣成市海洋渔业有限公司","西南大西洋和东南太平洋","882.00","荣成市海洋渔业有限公司","955.00",,"中国","海洋1"
,,"0","0","0","0","0",,"0","0"
"灯光围网","0168-09-07 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔118"
"鱿鱼钓","2179-02-04 00:00:00.0","荣成华东渔业有限公司","太平洋印度洋西南大西洋","1260.00","荣成华东渔业有限公司","910.00",,"中国","鲁荣远渔581"
"金枪钓","2185-09-12 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","364.00",,"中国","鲁荣远渔878"
"拖网船","0173-09-06 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔920"
"拖网船","2180-09-03 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔908"
"拖网船","2183-09-09 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔928"
"拖网船","2180-09-05 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔910"
"围网","2183-03-10 00:00:00.0","荣成市连海渔业有限公司","印度洋","1189.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔238"
"渔业辅助船","2197-12-01 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2900","文登市鲲安水产有限责任公司","3081",,"中国","鲁文远渔运888"
"拖网船","2197-09-10 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔968"
"拖网","2188-09-03 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔506"
"拖网船","2198-09-05 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔917"
"拖网","2184-10-01 00:00:00.0","荣成市海洋渔业有限公司","加纳","920","荣成市海洋渔业有限公司","289",,"中国","鲁荣远渔956"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔322"
"单拖网","2195-09-08 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔363"
"单拖网","2195-09-08 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔362"
"拖网","2184-10-01 00:00:00.0","荣成市海洋渔业有限公司","加纳","920","荣成市海洋渔业有限公司","289",,"中国","鲁荣远渔959"
"围网","0169-03-08 00:00:00.0","山东海裕远洋渔业有限公司","印度洋公海","1155","山东海裕远洋渔业有限公司","899",,"中国","鲁荣远渔305"
"鱿鱼钓","2180-02-01 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔609"
"单拖网","2197-09-12 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2350.00","荣成市连海渔业有限公司","819.00",,"中国","鲁荣远渔895"
"拖网船","0168-09-09 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔927"
"延绳钓","0169-09-05 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","265",,"中国","鲁荣远渔212"
"鱿鱼钓","2195-10-09 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋、东南太平洋和北太平洋公海","2205.00","荣成市荣远渔业有限公司","1654.00",,"中国","鲁荣远渔698"
"延绳钓","2194-07-07 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","271",,"中国","鸿洋 8"
"运输船","0175-10-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","2206","山东蓝越远洋渔业有限公司","2244",,"中国","鲁荣远渔运168"
"延绳钓","2193-03-07 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔356"
"围网","2187-12-01 00:00:00.0","荣成市远洋渔业有限公司","加纳","1470","荣成市远洋渔业有限公司","617",,"中国","鲁荣远渔221"
"秋刀鱼捕捞船","2193-10-01 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1624",,"中国","鲁文远渔172"
"金枪钓","2187-01-12 00:00:00.0","山东沙窝岛远洋渔业股份有限公司","中西太平洋公海","750.00","山东沙窝岛远洋渔业股份有限公司","432.00",,"中国","鲁荣远渔658"
"单拖网","2195-09-08 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔370"
"鱿鱼钓","2183-02-10 00:00:00.0","荣成市王岛大洋水产有限公司","西南大西洋、东南太平洋、北太","1710.00","荣成市王岛大洋水产有限公司","1300.00",,"中国","鲁荣远渔187"
"鱿鱼钓","2179-09-09 00:00:00.0","荣成市连海渔业有限公司","西南大西洋公海","2100.00","荣成市连海渔业有限公司","1593.00",,"中国","鲁荣远渔899"
"运输船","2178-03-01 00:00:00.0","荣成市荣远渔业有限公司","北太平洋 东南太平洋 西南大西洋 印度洋","3500.00","荣成市荣远渔业有限公司","3081.00",,"中国","鲁荣远渔运999"
"鱿钓","2178-02-09 00:00:00.0","荣成市赤山远洋渔业有限公司","北太平洋","1800","荣成市赤山远洋渔业有限公司","1478",,"中国","鲁荣远渔701"
"金枪鱼延绳钓","2183-08-03 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","698.00","荣成马山远洋渔业有限公司","255.00",,"中国","荣泰8"
"金枪钓","2180-12-05 00:00:00.0","荣成市荣远渔业有限公司","印度洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔268"
"鱿鱼钓","2187-02-01 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔610"
"鱿钓","0175-10-07 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2100","荣成市赤山远洋渔业有限公司","1497",,"中国","鲁荣远渔809"
"延绳钓","0170-08-07 00:00:00.0","荣成市远洋渔业有限公司","中西太","480","荣成市远洋渔业有限公司","255",,"中国","润达3"
"金枪鱼延绳钓","2192-08-05 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","698","威海昌和渔业有限公司","336",,"中国","荣大洋19"
"金枪鱼延绳钓","2192-08-05 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","698","威海昌和渔业有限公司","336",,"中国","荣大洋29"
"鱿钓","2193-08-07 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","1760.00","荣成鑫润水产有限公司","1491.00",,"中国","润达9"
"延绳钓","0173-08-12 00:00:00.0","山东俚岛海洋科技股份有限公司","中西太平洋/东太平洋","698.00","山东俚岛海洋科技股份有限公司","276.00",,"中国","鲁荣远渔56"
"延绳钓","2194-07-07 00:00:00.0","荣成市远洋渔业有限公司","太平洋","480","荣成市远洋渔业有限公司","271",,"中国","鸿洋 9"
"拖网船","2180-09-03 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","920.00","荣成市海洋渔业有限公司","299.00",,"中国","鲁荣远渔907"
"灯光围网","2182-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔813"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔027"
"鱿钓","2182-09-10 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","2100.00","荣成鑫润水产有限公司","1673.00",,"中国","鲁荣远渔579"
"拖网","0175-09-05 00:00:00.0","荣成市恒隆渔业有限公司","毛里塔尼亚","1000","荣成市恒隆渔业有限公司","298",,"中国","鲁荣远渔509"
"围网","0174-05-04 00:00:00.0","荣成市连海渔业有限公司","印度洋","1167.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔232"
"鱿鱼钓","2178-08-05 00:00:00.0","荣成市王岛大洋水产有限公司","西南大西洋、东南太平洋","882.00","荣成市王岛大洋水产有限公司","950.00",,"中国","振发5"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔885"
"围网","2187-03-09 00:00:00.0","荣成市恒隆渔业有限公司","印度洋公海","1110","荣成市恒隆渔业有限公司","383",,"中国","鲁荣远渔901"
"鱿鱼钓","2196-12-09 00:00:00.0","荣成华东渔业有限公司","印度洋","1000.00","荣成华东渔业有限公司","744.00",,"中国","鲁荣远渔717"
"拖网船","0173-09-11 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔930"
"鱿钓","2186-08-12 00:00:00.0","荣成鑫润水产有限公司","西南大西洋和太平洋公海","1760.00","荣成鑫润水产有限公司","1497.00",,"中国","鲁荣远渔777"
"拖网","0170-12-01 00:00:00.0","荣成市远洋渔业有限公司","尼日利亚","960","荣成市远洋渔业有限公司","328",,"中国","鲁荣远渔217"
"鱿鱼钓","0174-08-08 00:00:00.0","威海市环海水产有限公司","西南大西洋及东南太平洋公海","882","威海市环海水产有限公司","1266",,"中国","威渔19"
"灯光围网","2196-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔107"
"拖网","2184-01-10 00:00:00.0","威海世源远洋渔业有限公司","伊朗","1750","威海世源远洋渔业有限公司","752",,"中国","鲁威远渔025"
"拖网","2184-10-01 00:00:00.0","荣成市海洋渔业有限公司","加纳","920","荣成市海洋渔业有限公司","289",,"中国","鲁荣远渔957"
"延绳钓","0169-10-04 00:00:00.0","荣成市远洋渔业有限公司","太平洋","720","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔210"
"拖网","2187-09-05 00:00:00.0","荣成市荣远渔业有限公司","西南大西洋公海","1960.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔979"
"金枪鱼延绳钓","2183-04-07 00:00:00.0","威海市恒源渔业有限公司","中西太平洋","750","威海市恒源渔业有限公司","332",,"中国","鲁乳远渔669"
"金枪鱼延绳钓","2185-08-03 00:00:00.0","荣成市远洋渔业有限公司","太平洋公海","698","荣成市远洋渔业有限公司","255",,"中国","鲁远23"
"鱿鱼钓","2183-02-10 00:00:00.0","荣成市王岛大洋水产有限公司","西南大西洋、东南太平洋、北太","1710.00","荣成市王岛大洋水产有限公司","1300.00",,"中国","鲁荣远渔186"
"单拖网","2185-09-09 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔373"
"灯光围网","2182-09-04 00:00:00.0","山东蓝越远洋渔业有限公司","印度洋","1760","山东蓝越远洋渔业有限公司","651",,"中国","鲁荣远渔812"
"金枪钓","2192-12-07 00:00:00.0","荣成市荣远渔业有限公司","中西太平洋公海","1000.00","荣成市荣远渔业有限公司","498.00",,"中国","鲁荣远渔288"
"金枪鱼延绳钓","2198-12-05 00:00:00.0","荣成马山远洋渔业有限公司","太平洋公海","750.00","荣成马山远洋渔业有限公司","276.00",,"中国","鲁荣远渔299"
"围网","0170-03-12 00:00:00.0","荣成市连海渔业有限公司","印度洋","1189.00","荣成市连海渔业有限公司","1470.00",,"中国","鲁荣远渔239"
"围网","2186-03-11 00:00:00.0","荣成市海洋渔业有限公司","太平洋和印度洋公海","1500.00","荣成市海洋渔业有限公司","1110.00",,"中国","鲁荣远渔891"
"鱿鱼钓","2186-08-09 00:00:00.0","荣成市永进水产有限公司","无项目","960.00","荣成市永进水产有限公司","403.00",,"中国","荣远渔168"
"拖网船","0173-09-11 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔966"
"金枪鱼延绳钓","2179-09-11 00:00:00.0","荣成市远洋渔业有限公司","印度洋公海","750","荣成市远洋渔业有限公司","276",,"中国","鲁荣远渔327"
"鱿鱼钓","0176-08-11 00:00:00.0","荣成市泓顺水产有限公司","北太平洋、东南太平洋公海","960.00","荣成市泓顺水产有限公司","440.00",,"中国","鲁荣远渔333"
"灯光围网","0175-11-04 00:00:00.0","荣成市永进水产有限公司","印度洋公海","1470.00","荣成市永进水产有限公司","720.00",,"中国","鲁荣远渔869"
"拖网","2184-10-06 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2350","荣成市赤山远洋渔业有限公司","724",,"中国","鲁荣远渔805"
"金枪鱼延绳钓","2191-04-01 00:00:00.0","威海昌和渔业有限公司","中西太平洋公海","540","威海昌和渔业有限公司","190",,"中国","荣大洋6"
"鱿钓","2187-10-06 00:00:00.0","荣成市赤山远洋渔业有限公司","西南大西洋公海","2100","荣成市赤山远洋渔业有限公司","1497",,"中国","鲁荣远渔808"
"单拖网","2189-08-11 00:00:00.0","荣成市荣远渔业有限公司","朝鲜东部海域","810.00","荣成市荣远渔业有限公司","290.00",,"中国","鲁荣远渔360"
"延绳钓","2190-03-01 00:00:00.0","荣成市远洋渔业有限公司","太平洋","750","荣成市远洋渔业有限公司","329",,"中国","鲁荣远渔800"
"鱿鱼钓","2181-01-11 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔601"
"延绳钓","2184-02-11 00:00:00.0","荣成市远洋渔业有限公司","中西太","750","荣成市远洋渔业有限公司","316",,"中国","鲁荣远渔686"
"秋刀鱼捕捞船","0176-10-06 00:00:00.0","文登市鲲安水产有限责任公司","西北太平洋公海、印度洋","2100","文登市鲲安水产有限责任公司","1577",,"中国","鲁文远渔175"
"鱿鱼钓","2180-02-01 00:00:00.0","荣成好当家远洋渔业有限公司","西南大西洋公海","1500.00","荣成好当家远洋渔业有限公司","1087.00",,"中国","鲁荣远渔608"
"拖网船","2197-09-10 00:00:00.0","荣成市海洋渔业有限公司","加纳海域","1000.00","荣成市海洋渔业有限公司","356.00",,"中国","鲁荣远渔967"
"0",,,"0","0","0","0","0","0","0"